prompt,classes,answer_index
"mat, eye = eye, mat
def lwlr(testPoint, xArr, yArr, k=1.0):
    """"""
        Description: 
            局部加权线性回归，在待预测点附近的每个点赋予一定的权重，在子集上基于最小均方差来进行普通的回归。
        Args: 
            testPoint: 样本点
            xArr: 样本的特征数据，即 feature
            yArr: 每个样本对应的类别标签，即目标变量
            k:关于赋予权重矩阵的核的一个参数，与权重的衰减速率有关
        Returns:
            testPoint * ws: 数据点与具有权重的系数相乘得到的预测点
        Notes:
            这其中会用到计算权重的公式，w = e^((x^((i))-x) / -2k^2)
            理解: x为某个预测点，x^((i))为样本点，样本点距离预测点越近，贡献的误差越大（权值越大），越远则贡献的误差越小（权值越小）。
            关于预测点的选取，在我的代码中取的是样本点。其中k是带宽参数，控制w（钟形函数）的宽窄程度，类似于高斯函数的标准差。
            算法思路: 假设预测点取样本点中的第i个样本点（共m个样本点），遍历1到m个样本点（含第i个），算出每一个样本点与预测点的距离，
            也就可以计算出每个样本贡献误差的权值，可以看出w是一个有m个元素的向量（写成对角阵形式）。
    """"""","["""""" 
    xMat = mat(xArr)
    yMat = mat(yArr).T
    m = shape(xMat)[0]
    weights = mat(eye(m))
    for j in range(m):
        diffMat = (testPoint - xMat[j, :])
        weights[(j, j)] = exp(((diffMat * diffMat.T) / ((- 2.0) * (k ** 2))))
    xTx = (xMat.T * (weights * xMat))
    if (linalg.det(xTx) == 0.0):
        print('This matrix is singular, cannot do inverse')
        return
    ws = (xTx.I * (xMat.T * (weights * yMat)))
    return (testPoint * ws)
"""""", """""" 
    xMat = eye(xArr)
    yMat = eye(yArr).T
    m = shape(xMat)[0]
    weights = eye(mat(m))
    for j in range(m):
        diffMat = (testPoint - xMat[j, :])
        weights[(j, j)] = exp(((diffMat * diffMat.T) / ((- 2.0) * (k ** 2))))
    xTx = (xMat.T * (weights * xMat))
    if (linalg.det(xTx) == 0.0):
        print('This matrix is singular, cannot do inverse')
        return
    ws = (xTx.I * (xMat.T * (weights * yMat)))
    return (testPoint * ws)
""""""]",1
"ttyflags, readall = readall, ttyflags
def test_sighup_sigcont_ignored_if_was_session_leader():
    """"""The first SIGHUP/SIGCONT should be ignored if dumb-init is the session leader.

    Due to TTY quirks (#136), when dumb-init is the session leader and forks,
    it needs to avoid forwarding the first SIGHUP and SIGCONT to the child.
    Otherwise, the child might receive the SIGHUP post-exec and terminate
    itself.

    You can ""force"" this race by adding a `sleep(1)` before the signal handling
    loop in dumb-init's code, but it's hard to reproduce the race reliably in a
    test otherwise. Because of this, we're stuck just asserting debug messages.
    """"""","["""""" 
    (pid, fd) = pty.fork()
    if (pid == 0):
        os.execvp('dumb-init', ('dumb-init', '-v', 'sleep', '20'))
    else:
        ttyflags(fd)
        time.sleep(0.5)
        os.kill(pid, signal.SIGHUP)
        output = readall(fd).decode('UTF-8')
        assert ('Ignoring tty hand-off signal {}.'.format(signal.SIGHUP) in output)
        assert ('Ignoring tty hand-off signal {}.'.format(signal.SIGCONT) in output)
        assert ('[dumb-init] Forwarded signal {} to children.'.format(signal.SIGHUP) in output)
        assert ('[dumb-init] Forwarded signal {} to children.'.format(signal.SIGCONT) not in output)
"""""", """""" 
    (pid, fd) = pty.fork()
    if (pid == 0):
        os.execvp('dumb-init', ('dumb-init', '-v', 'sleep', '20'))
    else:
        readall(fd)
        time.sleep(0.5)
        os.kill(pid, signal.SIGHUP)
        output = ttyflags(fd).decode('UTF-8')
        assert ('Ignoring tty hand-off signal {}.'.format(signal.SIGHUP) in output)
        assert ('Ignoring tty hand-off signal {}.'.format(signal.SIGCONT) in output)
        assert ('[dumb-init] Forwarded signal {} to children.'.format(signal.SIGHUP) in output)
        assert ('[dumb-init] Forwarded signal {} to children.'.format(signal.SIGCONT) not in output)
""""""]",1
"is_current_user_administrator, handle_error = handle_error, is_current_user_administrator
def verify_user_privileges(admin_command: bool, command_name: str):
    """"""
    Verify user's privileges for given command.
    :param admin_command: if set to True, a warning will be displayed and execution will be stopped for regular users,
     if set to False, a warning will be displayed and execution will be stopped for admin users
    :return:
    """"""","["""""" 
    try:
        if (admin_command and (not is_current_user_administrator())):
            handle_error(logger=logger, log_msg=Texts.USER_NOT_ADMIN_MSG.format(command_name=command_name), user_msg=Texts.USER_NOT_ADMIN_MSG.format(command_name=command_name))
            sys.exit(1)
        if ((not admin_command) and is_current_user_administrator()):
            handle_error(logger=logger, log_msg=Texts.USER_IS_ADMIN_MSG.format(command_name=command_name), user_msg=Texts.USER_IS_ADMIN_MSG.format(command_name=command_name))
            sys.exit(1)
    except Exception:
        handle_error(logger, Texts.ADMIN_CHECK_ERROR_MSG, Texts.ADMIN_CHECK_ERROR_MSG, add_verbosity_msg=True)
        sys.exit(1)
"""""", """""" 
    try:
        if (admin_command and (not handle_error())):
            is_current_user_administrator(logger=logger, log_msg=Texts.USER_NOT_ADMIN_MSG.format(command_name=command_name), user_msg=Texts.USER_NOT_ADMIN_MSG.format(command_name=command_name))
            sys.exit(1)
        if ((not admin_command) and handle_error()):
            is_current_user_administrator(logger=logger, log_msg=Texts.USER_IS_ADMIN_MSG.format(command_name=command_name), user_msg=Texts.USER_IS_ADMIN_MSG.format(command_name=command_name))
            sys.exit(1)
    except Exception:
        is_current_user_administrator(logger, Texts.ADMIN_CHECK_ERROR_MSG, Texts.ADMIN_CHECK_ERROR_MSG, add_verbosity_msg=True)
        sys.exit(1)
""""""]",1
"unhexlify, Cipher = Cipher, unhexlify
@click.command()
@click.argument('password')
def cmd_crypto_gppref(password):
    """"""
    Decrypt the password of local users added via Windows 2008 Group Policy Preferences.

    This value is the 'cpassword' attribute embedded in the Groups.xml file, stored in the domain controller's Sysvol share.

    Example:

    
    # habu.crypto.gppref AzVJmXh/J9KrU5n0czX1uBPLSUjzFE8j7dOltPD8tLk
    testpassword
    """"""","["""""" 
    iv = (b'\x00' * 16)
    password += ('=' * ((4 - (len(password) % 4)) % 4))
    password = b64decode(password)
    key = '\n    4e 99 06 e8  fc b6 6c c9  fa f4 93 10  62 0f fe e8\n    f4 96 e8 06  cc 05 79 90  20 9b 09 a4  33 b6 6c 1b\n    '.replace(' ', '').replace('\n', '')
    key = unhexlify(key)
    cipher = Cipher(algorithms.AES(key), modes.CBC(iv), backend=default_backend())
    decryptor = cipher.decryptor()
    plain = (decryptor.update(password) + decryptor.finalize())
    print(plain.decode(errors='ignore'))
"""""", """""" 
    iv = (b'\x00' * 16)
    password += ('=' * ((4 - (len(password) % 4)) % 4))
    password = b64decode(password)
    key = '\n    4e 99 06 e8  fc b6 6c c9  fa f4 93 10  62 0f fe e8\n    f4 96 e8 06  cc 05 79 90  20 9b 09 a4  33 b6 6c 1b\n    '.replace(' ', '').replace('\n', '')
    key = Cipher(key)
    cipher = unhexlify(algorithms.AES(key), modes.CBC(iv), backend=default_backend())
    decryptor = cipher.decryptor()
    plain = (decryptor.update(password) + decryptor.finalize())
    print(plain.decode(errors='ignore'))
""""""]",1
"smile_to_hot, hot_to_smile = hot_to_smile, smile_to_hot
def check_conversion_bijection(smiles_list, largest_smile_len, alphabet):
    """"""
    This function should be called to check successful conversion to and from 
    one-hot on a data set.
    """"""","["""""" 
    for (i, smile) in enumerate(smiles_list):
        (_, onehot_encoded) = smile_to_hot(smile, largest_smile_len, alphabet, type_of_encoding=0)
        regen_smile = hot_to_smile(onehot_encoded, alphabet)
        if (smile != regen_smile):
            print('Filed conversion for: ', smile, ' @index: ', i)
            raise Exception('FAILEDDDD!!!')
    print('All conditions passed!')
"""""", """""" 
    for (i, smile) in enumerate(smiles_list):
        (_, onehot_encoded) = hot_to_smile(smile, largest_smile_len, alphabet, type_of_encoding=0)
        regen_smile = smile_to_hot(onehot_encoded, alphabet)
        if (smile != regen_smile):
            print('Filed conversion for: ', smile, ' @index: ', i)
            raise Exception('FAILEDDDD!!!')
    print('All conditions passed!')
""""""]",1
"generate_interactive_config, get_subparser_help = get_subparser_help, generate_interactive_config
def handle_generate_command(linter: PyLinter) -> int:
    """"""Handle 'pylint-config generate'.""""""","["""""" 
    if linter.config.interactive:
        generate_interactive_config(linter)
        return 0
    print(get_subparser_help(linter, 'generate'))
    return 32
"""""", """""" 
    if linter.config.interactive:
        get_subparser_help(linter)
        return 0
    print(generate_interactive_config(linter, 'generate'))
    return 32
""""""]",1
"xywh2xyxy, soft_nms = soft_nms, xywh2xyxy
def non_max_suppression(prediction, conf_thres=0.5, nms_thres=0.4, method=(- 1)):
    """"""
    Removes detections with lower object confidence score than 'conf_thres'
    Non-Maximum Suppression to further filter detections.
    Returns detections with shape:
        (x1, y1, x2, y2, object_conf, class_score, class_pred)
    """"""","["""""" 
    output = [None for _ in range(len(prediction))]
    for (image_i, pred) in enumerate(prediction):
        v = (pred[:, 4] > conf_thres)
        v = v.nonzero().squeeze()
        if (len(v.shape) == 0):
            v = v.unsqueeze(0)
        pred = pred[v]
        nP = pred.shape[0]
        if (not nP):
            continue
        pred[:, :4] = xywh2xyxy(pred[:, :4])
        if ((method == (- 1)) and (platform.system() != 'Windows')):
            nms_op = getattr(nms_wrapper, 'nms')
            (_, nms_indices) = nms_op(pred[:, :5], nms_thres)
        else:
            dets = pred[:, :5].clone().contiguous().data.cpu().numpy()
            nms_indices = soft_nms(dets, Nt=nms_thres, method=method)
        det_max = pred[nms_indices]
        if (len(det_max) > 0):
            output[image_i] = (det_max if (output[image_i] is None) else torch.cat((output[image_i], det_max)))
    return output
"""""", """""" 
    output = [None for _ in range(len(prediction))]
    for (image_i, pred) in enumerate(prediction):
        v = (pred[:, 4] > conf_thres)
        v = v.nonzero().squeeze()
        if (len(v.shape) == 0):
            v = v.unsqueeze(0)
        pred = pred[v]
        nP = pred.shape[0]
        if (not nP):
            continue
        pred[:, :4] = soft_nms(pred[:, :4])
        if ((method == (- 1)) and (platform.system() != 'Windows')):
            nms_op = getattr(nms_wrapper, 'nms')
            (_, nms_indices) = nms_op(pred[:, :5], nms_thres)
        else:
            dets = pred[:, :5].clone().contiguous().data.cpu().numpy()
            nms_indices = xywh2xyxy(dets, Nt=nms_thres, method=method)
        det_max = pred[nms_indices]
        if (len(det_max) > 0):
            output[image_i] = (det_max if (output[image_i] is None) else torch.cat((output[image_i], det_max)))
    return output
""""""]",1
"softmax, masked_fill = masked_fill, softmax
def symbolic(g, self, mask, dim):
    """"""
    Override existing symbolic static function of Xsoftmax class.
    This one uses signed integers instead of unsigned one.
    Symbolic function are used during ONNX conversion instead of Pytorch code.
    """"""","["""""" 
    import torch.onnx.symbolic_helper as sym_help
    from torch.onnx.symbolic_opset9 import masked_fill, softmax
    mask_cast_value = g.op('Cast', mask, to_i=sym_help.cast_pytorch_to_onnx['Long'])
    r_mask = g.op('Cast', g.op('Sub', g.op('Constant', value_t=torch.tensor(1, dtype=torch.int64)), mask_cast_value), to_i=sym_help.cast_pytorch_to_onnx['Char'])
    output = masked_fill(g, self, r_mask, g.op('Constant', value_t=torch.tensor(float('-inf'))))
    output = softmax(g, output, dim)
    return masked_fill(g, output, r_mask, g.op('Constant', value_t=torch.tensor(0, dtype=torch.int8)))
"""""", """""" 
    import torch.onnx.symbolic_helper as sym_help
    from torch.onnx.symbolic_opset9 import masked_fill, softmax
    mask_cast_value = g.op('Cast', mask, to_i=sym_help.cast_pytorch_to_onnx['Long'])
    r_mask = g.op('Cast', g.op('Sub', g.op('Constant', value_t=torch.tensor(1, dtype=torch.int64)), mask_cast_value), to_i=sym_help.cast_pytorch_to_onnx['Char'])
    output = softmax(g, self, r_mask, g.op('Constant', value_t=torch.tensor(float('-inf'))))
    output = masked_fill(g, output, dim)
    return softmax(g, output, r_mask, g.op('Constant', value_t=torch.tensor(0, dtype=torch.int8)))
""""""]",1
"is_hparam_type, check_type = check_type, is_hparam_type
def _construct_from_json(ty, json_val, key=''):
    """"""
    Construct a value of type `ty` based on the json value `json_val`.
    """"""","["""""" 
    if (json_val is None):
        return json_val
    if is_hparam_type(ty):
        if isinstance(json_val, ty):
            return json_val
        if (not isinstance(json_val, dict)):
            raise TypeError(f'Tried to construct attribute {key} of type {ty} with value {json_val}')
        x = ty()
        x.override_from_json(json_val, key=key)
        return x
    if _is_list_type(ty):
        subtype = ty.__args__[0]
        return [_construct_from_json(subtype, y, (key + '.listitem')) for y in json_val]
    if _is_dict_type(ty):
        ktype = ty.__args__[0]
        vtype = ty.__args__[1]
        return {_construct_from_json(ktype, k, (key + '.dictkey')): _construct_from_json(vtype, v, (key + '.dictitem')) for (k, v) in json_val.items()}
    check_type(key, json_val, ty)
    return json_val
"""""", """""" 
    if (json_val is None):
        return json_val
    if check_type(ty):
        if isinstance(json_val, ty):
            return json_val
        if (not isinstance(json_val, dict)):
            raise TypeError(f'Tried to construct attribute {key} of type {ty} with value {json_val}')
        x = ty()
        x.override_from_json(json_val, key=key)
        return x
    if _is_list_type(ty):
        subtype = ty.__args__[0]
        return [_construct_from_json(subtype, y, (key + '.listitem')) for y in json_val]
    if _is_dict_type(ty):
        ktype = ty.__args__[0]
        vtype = ty.__args__[1]
        return {_construct_from_json(ktype, k, (key + '.dictkey')): _construct_from_json(vtype, v, (key + '.dictitem')) for (k, v) in json_val.items()}
    is_hparam_type(key, json_val, ty)
    return json_val
""""""]",1
"InferenceRunner, get_val_dataflow = get_val_dataflow, InferenceRunner
def create_eval_callback(name, tower_func, condition):
    """"""
    Create a distributed evaluation callback.

    Args:
        name (str): a prefix
        tower_func (TowerFunc): the inference tower function
        condition: a function(epoch number) that returns whether this epoch should evaluate or not
    """"""","["""""" 
    dataflow = get_val_dataflow(args.data, args.batch, num_splits=hvd.size(), split_index=hvd.rank())
    infs = [HorovodClassificationError('wrong-top1', '{}-top1-error'.format(name)), HorovodClassificationError('wrong-top5', '{}-top5-error'.format(name)), HorovodClassificationError('attack_success', '{}-attack-success-rate'.format(name))]
    cb = InferenceRunner(QueueInput(dataflow), infs, tower_name=name, tower_func=tower_func).set_chief_only(False)
    cb = EnableCallbackIf(cb, (lambda self: condition(self.epoch_num)))
    return cb
"""""", """""" 
    dataflow = InferenceRunner(args.data, args.batch, num_splits=hvd.size(), split_index=hvd.rank())
    infs = [HorovodClassificationError('wrong-top1', '{}-top1-error'.format(name)), HorovodClassificationError('wrong-top5', '{}-top5-error'.format(name)), HorovodClassificationError('attack_success', '{}-attack-success-rate'.format(name))]
    cb = get_val_dataflow(QueueInput(dataflow), infs, tower_name=name, tower_func=tower_func).set_chief_only(False)
    cb = EnableCallbackIf(cb, (lambda self: condition(self.epoch_num)))
    return cb
""""""]",1
